Family.name,Family,Subfamily,Tribe,Common.name,Scientific.name,Movement,X2024.IUCN.Red.List.category,if_fao,if_new_infect,if_birdlife_breeding,if_birdlife_nonbreeding,X1,X2,X3,X4,X5,X6.1,X7,X8,X9,X10,X11,X12.,if_movebank,if_birdlife_std,low_season,Flyways,Current.population.trend,Family2,Order2,Avibase.ID2,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle
Phalacrocoracidae,Cormorants,,NA,Pygmy Cormorant,Microcarbo pygmaeus,Coastal,LC,1,o,TRUE,TRUE,0,0,0,2,1,1,1,1,1,2,0,0,0,0,0,,NA,Phalacrocoracidae,Suliformes,AVIBASE-AFF49475,NA,NA,NA,NA,NA,NA,5,2,3,0,4,36.6,26.5,7.6,12.1,36.1,201,63.8,136.2,31.8,142.4,676,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Aquatic
Phalacrocoracidae,Cormorants,,NA,Little Cormorant,Microcarbo niger,Coastal,LC,0,NA,TRUE,TRUE,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,,NA,Phalacrocoracidae,Suliformes,AVIBASE-60EA3FA9,NA,NA,NA,NA,NA,NA,5,2,3,0,4,34.6,25.8,7.2,11.3,36,196.4,65,129.5,33.3,131.4,427,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Aquatic
Phalacrocoracidae,Cormorants,,NA,Little Pied Cormorant,Microcarbo melanoleucos,Coastal,LC,0,NA,TRUE,TRUE,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,,NA,Phalacrocoracidae,Suliformes,AVIBASE-DF8F84C3,NA,NA,NA,NA,NA,NA,8,4,2,2,4,37.4,27.5,7.6,11.4,37.6,218.8,80.5,138.2,36.8,153,727.4,Dunning,NA,NO,NA,NA,Wetland,3,1,Carnivore,Aquatic predator,Aquatic
Phalacrocoracidae,Cormorants,,NA,Red-legged Cormorant,Poikilocarbo gaimardi,Coastal,NT,1,n,TRUE,TRUE,1,2,0,0,0,0,0,0,0,2,1,1,0,0,0,,NA,Phalacrocoracidae,Suliformes,AVIBASE-1636D621,NA,NA,NA,NA,NA,NA,4,2,2,0,4,65.5,47.8,9,12.5,54.6,246.5,73.8,172.7,30,93.2,1358.3,Dunning,NA,NO,NA,NA,Marine,3,1,Carnivore,Aquatic predator,Aquatic
Phalacrocoracidae,Cormorants,,NA,Rock Shag,Leucocarbo magellanicus,Coastal,LC,1,n,TRUE,TRUE,1,2,0,0,0,0,0,0,0,2,1,1,0,0,0,,NA,Phalacrocoracidae,Suliformes,AVIBASE-1EA575E0,NA,NA,NA,NA,NA,NA,5,2,3,0,4,51.5,38.4,7.7,10.4,54.5,250.4,85.3,163.7,34.3,132.4,1483.4,Dunning,NA,NO,NA,NA,Marine,3,1,Carnivore,Aquatic predator,Aquatic
Phalacrocoracidae,Cormorants,,NA,Guanay Cormorant,Leucocarbo bougainvilliorum,Coastal,NT,1,n,TRUE,TRUE,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phalacrocoracidae,Cormorants,,NA,Imperial Shag,Leucocarbo atriceps,Coastal,LC,1,n,TRUE,TRUE,1,1,2,0,0,0,0,0,2,1,1,1,0,0,0,,NA,Phalacrocoracidae,Suliformes,AVIBASE-405403BD,NA,NA,NA,NA,NA,NA,9,4,5,0,8,68.6,46.9,9.8,13.4,65,283.6,100.2,181.8,35.6,117.9,2000,EltonTraits_Model,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aquatic
Phalacrocoracidae,Cormorants,,NA,South Georgia Shag,Leucocarbo georgianus,Coastal,NR,1,n,FALSE,FALSE,2,2,2,0,0,0,0,0,0,2,2,2,0,0,0,,NA,Phalacrocoracidae,Suliformes,AVIBASE-1A941EF8,NA,NA,NA,NA,NA,NA,4,2,2,0,4,59,40.5,9.6,12.5,65.6,288.5,99,189.4,34.3,125.8,2000,EltonTraits_Model,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aquatic
Phalacrocoracidae,Cormorants,,NA,Kerguelen Islands Shag,Leucocarbo verrucosus,Coastal,LC,0,NA,TRUE,TRUE,1,2,0,0,0,0,0,0,2,1,1,1,0,0,0,,NA,Phalacrocoracidae,Suliformes,AVIBASE-C6DA25F4,NA,NA,NA,NA,NA,NA,4,0,2,2,4,57.8,38.1,9,12.1,59.9,267.2,96.5,170.7,36.1,112.8,2000,EltonTraits_Model,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aquatic
Phalacrocoracidae,Cormorants,,NA,Rough-faced Shag,Leucocarbo carunculatus,Coastal,VU,0,NA,TRUE,TRUE,0,0,2,1,1,1,1,1,1,1,1,2,0,0,0,,NA,Phalacrocoracidae,Suliformes,AVIBASE-09D4D411,NA,NA,NA,NA,NA,NA,5,3,0,2,3,74.9,56.9,13.4,17.2,63.5,287.8,106.2,183.5,36.7,119.8,2576.3,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aquatic
