Event.ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation.date,report.date,Species,Diagnosis.Source,Humans.Affected,Human.Deaths,Diagnosis.Status,Scientific_Names
397835,Influenza - Avian,;H5N1 HPAI;,48.44231,-4.367088,147822 GUIPAVAS (29075),France,Europe,2025-01-16T00:00:00Z,2025-01-28T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
397187,Influenza - Avian,;H5N1 HPAI;,52.240441,5.480975,148051 NIJKERK,Netherlands (Kingdom of the),Europe,2025-01-16T00:00:00Z,2025-01-24T00:00:00Z,"Wild,Caspian gull (Larus cachinnans),",WOAH (former OIE),NA,NA,Confirmed,Larus cachinnans
397923,Influenza - Avian,;H5N1 HPAI;,44.8394,10.2308,148284FONTEVIVO,Italy,Europe,2025-01-17T00:00:00Z,2025-01-29T00:00:00Z,"Wild,Yellow-legged gull (Larus michahellis),",WOAH (former OIE),NA,NA,Confirmed,Larus michahellis
397200,Influenza - Avian,;H5N1 HPAI;,54.58,-0.98,"148063 SALTBURN-BY-THE-SEA, NORTH YORKSHIRE",United Kingdom of Great Britain and Northern Ireland,Europe,2025-01-20T00:00:00Z,2025-01-24T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
396839,Influenza - Avian,;H5N1 HPAI;,47.64417,18.332829,147730 TATA,Hungary,Europe,2025-01-20T00:00:00Z,2025-01-22T00:00:00Z,"Wild,Caspian gull (Larus cachinnans),",WOAH (former OIE),NA,NA,Confirmed,Larus cachinnans
398276,Influenza - Avian,;H5N1 HPAI;,55.3306,-1.5783,"148640COQUET ISLAND, NORTHUMBERLAND",United Kingdom of Great Britain and Northern Ireland,Europe,2025-01-22T00:00:00Z,2025-01-31T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
397935,Influenza - Avian,;H5N1 HPAI;,51.2172,2.909022,148346OOSTENDE,Belgium,Europe,2025-01-22T00:00:00Z,2025-01-29T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
398755,Influenza - Avian,;H5N1 HPAI;,57.15,-2.11,"150074ROSEMOUNT AND MILE END, ABERDEENSHIRE",United Kingdom of Great Britain and Northern Ireland,Europe,2025-01-23T00:00:00Z,2025-02-07T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
400051,Influenza - Avian,;H5N1 HPAI;,47.04,8.33,151122SEEUFER STADT,Switzerland,Europe,2025-01-24T00:00:00Z,2025-02-19T00:00:00Z,"Wild,Mediterranean Gull ,",WOAH (former OIE),NA,NA,Confirmed,Larus melanocephalus
400281,Influenza - Avian,;H5N1 HPAI;,58.44,-3.09,"151213LOUISBURGH, HIGHLANDS",United Kingdom of Great Britain and Northern Ireland,Europe,2025-01-26T00:00:00Z,2025-02-21T00:00:00Z,"Wild,Yellow-legged gull (Larus michahellis),",WOAH (former OIE),NA,NA,Confirmed,Larus michahellis
399397,Influenza - Avian,;H5N1 HPAI;,45.425343,11.852744,150677PADOVA,Italy,Europe,2025-01-27T00:00:00Z,2025-02-12T00:00:00Z,"Wild,Yellow-legged gull (Larus michahellis),",WOAH (former OIE),NA,NA,Confirmed,Larus michahellis
398767,Influenza - Avian,;H5N1 HPAI;,53.69,-0.42,"149185BARTON-UPON-HUMBER, NORTH LINCOLNSHIRE",United Kingdom of Great Britain and Northern Ireland,Europe,2025-01-27T00:00:00Z,2025-02-07T00:00:00Z,"Wild,Great Black-headed Gull (Ichthyaetus ichthyaetus),",WOAH (former OIE),NA,NA,Confirmed,Larus ichthyaetus
398838,Influenza - Avian,;H5N1 HPAI;,55.166667,-2,"150064INNER FARNE, NORTHUMBERLAND",United Kingdom of Great Britain and Northern Ireland,Europe,2025-01-29T00:00:00Z,2025-02-07T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
399398,Influenza - Avian,;H5N1 HPAI;,45.17584,11.7645,150676STANGHELLA,Italy,Europe,2025-01-31T00:00:00Z,2025-02-12T00:00:00Z,"Wild,Yellow-legged gull (Larus michahellis),",WOAH (former OIE),NA,NA,Confirmed,Larus michahellis
399879,Influenza - Avian,;H5N1 HPAI;,50.72,-3.06,"150467SEATON WETLANDS, DEVON",United Kingdom of Great Britain and Northern Ireland,Europe,2025-02-03T00:00:00Z,2025-02-14T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
400286,Influenza - Avian,;H5N1 HPAI;,50.38,-3.53,"151208BRIXHAM, DEVON",United Kingdom of Great Britain and Northern Ireland,Europe,2025-02-04T00:00:00Z,2025-02-21T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
400287,Influenza - Avian,;H5N1 HPAI;,51.08,-4.05,"151207BARNSTAPLE, DEVON",United Kingdom of Great Britain and Northern Ireland,Europe,2025-02-04T00:00:00Z,2025-02-21T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
400284,Influenza - Avian,;H5N1 HPAI;,51.27,-2.77,"151210CHEDDAR, SOMERSET",United Kingdom of Great Britain and Northern Ireland,Europe,2025-02-05T00:00:00Z,2025-02-21T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
416954,Influenza - Avian,;H5N1 HPAI;,-54.45,-36.33,166894BLUF COVE,South Georgia and the South Sandwich Islands,Antarctica,2025-02-07T00:00:00Z,2025-10-20T00:00:00Z,"Wild,Gentoo penguin (Pygoscelis papua),",WOAH (former OIE),NA,NA,Confirmed,Pygoscelis papua
413267,Influenza - Avian,;H5 HPAI;,41.285,-70.099,163179NANTUCKET COUNTY,United States of America,Americas,2025-02-07T00:00:00Z,2025-08-21T00:00:00Z,"Wild,Great Black-backed Gull (Larus marinus),",WOAH (former OIE),NA,NA,Confirmed,Larus marinus
403178,Influenza - Avian,;H5N1 HPAI;,52.97,1.02,"153649BLAKENEY POINT, NORFOLK",United Kingdom of Great Britain and Northern Ireland,Europe,2025-02-07T00:00:00Z,2025-03-21T00:00:00Z,"Wild,Great Black-backed Gull (Larus marinus),",WOAH (former OIE),NA,NA,Confirmed,Larus marinus
400308,Influenza - Avian,;H5N1 HPAI;,50.8,-2.3,"151239STUDLAND, DORSET",United Kingdom of Great Britain and Northern Ireland,Europe,2025-02-10T00:00:00Z,2025-02-21T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
402007,Influenza - Avian,;H5N1 HPAI;,52.83,4.932957,152991WATER BODY,Netherlands (Kingdom of the),Europe,2025-02-14T00:00:00Z,2025-03-11T00:00:00Z,"Wild,Barnacle Goose:Branta leucopsis(Anatidae),Wild,Mew gull (Larus canus),Wild,Peregrin falcon:Falco peregrinus(Falconidae),Wild,Black headed gull (Chroicocephalus ridibundus),Wild,Caspian gull (Larus cachinnans),",WOAH (former OIE),NA,NA,Confirmed,"Larus canus, Larus ridibundus, Larus cachinnans"
400612,Influenza - Avian,;H5N1 HPAI;,44.064,12.582,151575RIMINI,Italy,Europe,2025-02-21T00:00:00Z,2025-02-26T00:00:00Z,"Wild,Yellow-legged gull (Larus michahellis),",WOAH (former OIE),NA,NA,Confirmed,Larus michahellis
403305,Influenza - Avian,;H5N1 HPAI;,52.63861,5.12416,154083VENHUIZEN,Netherlands (Kingdom of the),Europe,2025-02-26T00:00:00Z,2025-03-24T00:00:00Z,"Wild,Mew gull (Larus canus),",WOAH (former OIE),NA,NA,Confirmed,Larus canus
402665,Influenza - Avian,;H5N1 HPAI;,51.95,4.4166,153200DUTCH EXCLUSIVE ECONOMIC ZONE,Netherlands (Kingdom of the),Europe,2025-02-28T00:00:00Z,2025-03-17T00:00:00Z,"Wild,Great Black-backed Gull (Larus marinus),",WOAH (former OIE),NA,NA,Confirmed,Larus marinus
404177,Influenza - Avian,;H5N1 HPAI;,53.03481,4.71721,154810TEXEL,Netherlands (Kingdom of the),Europe,2025-03-01T00:00:00Z,2025-04-04T00:00:00Z,"Wild,Great Black-backed Gull (Larus marinus),Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,"Larus marinus, Larus argentatus"
405986,Influenza - Avian,;H5N1 HPAI;,49.666667,0.833333,156234 LE HAVRE (76351),France,Europe,2025-03-04T00:00:00Z,2025-04-25T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
403452,Influenza - Avian,;H5N1 HPAI;,57.7551,12.26125,154247LERUM,Sweden,Europe,2025-03-04T00:00:00Z,2025-03-26T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
403313,Influenza - Avian,;H5N1 HPAI;,52.533333,5.666667,154084WATER BODY,Netherlands (Kingdom of the),Europe,2025-03-04T00:00:00Z,2025-03-24T00:00:00Z,"Wild,Caspian gull (Larus cachinnans),Wild,Black headed gull (Chroicocephalus ridibundus),Wild,Mew gull (Larus canus),Wild,Barnacle Goose:Branta leucopsis(Anatidae),",WOAH (former OIE),NA,NA,Confirmed,"Larus cachinnans, Larus ridibundus, Larus canus"
403973,Influenza - Avian,;H5N5 HPAI;,66.0507,-17.353,154704HÃšSAVÃ�K,Iceland,Europe,2025-03-07T00:00:00Z,2025-04-02T00:00:00Z,"Wild,Iceland gull (Larus glaucoides),",WOAH (former OIE),NA,NA,Confirmed,Larus glaucoides
403184,Influenza - Avian,;H5N1 HPAI;,53.45,-3.01,"153565SEAFORTH, MERSEYSIDE",United Kingdom of Great Britain and Northern Ireland,Europe,2025-03-08T00:00:00Z,2025-03-21T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
403304,Influenza - Avian,;H5N1 HPAI;,53.00429,4.72386,154085TEXEL,Netherlands (Kingdom of the),Europe,2025-03-09T00:00:00Z,2025-03-24T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
403161,Influenza - Avian,;H5N1 HPAI;,50.768173,2.303304,153640CLAIRMARAIS (62225),France,Europe,2025-03-10T00:00:00Z,2025-03-24T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
